date,title,input_method,input_reference,raw_file,is_full_text,needs_backfill,notes
2026-02-12,AI 早报 2026-02-12,manual_paste_in_chat,chat_session,data/raw/wechat/2026-02-12.md,true,false,用户粘贴原文已归档（全文保真）
2026-02-11,AI 早报 2026-02-11,manual_paste_in_chat,chat_session,data/raw/wechat/2026-02-11.md,true,false,用户粘贴原文已归档（全文保真）
2026-02-10,AI 早报 2026-02-10,manual_paste_in_chat,chat_session,data/raw/wechat/2026-02-10.md,true,false,用户粘贴原文已归档（全文保真）
2026-02-09,AI 早报 2026-02-09,manual_paste_in_chat,chat_session,data/raw/wechat/2026-02-09.md,true,false,用户粘贴原文已归档（全文保真）
2026-02-08,AI 早报 2026-02-08,manual_paste_in_chat,chat_session,data/raw/wechat/2026-02-08.md,true,false,用户粘贴原文已归档（全文保真）
2026-02-07,AI 早报 2026-02-07,manual_paste_in_chat,chat_session,data/raw/wechat/2026-02-07.md,true,false,用户粘贴原文已归档（全文保真）
2026-02-06,AI 早报 2026-02-06,manual_paste_in_chat,chat_session,data/raw/wechat/2026-02-06.md,true,false,用户粘贴原文已归档（全文保真）
2026-02-05,AI 早报 2026-02-05,manual_paste_in_chat,chat_session,data/raw/wechat/2026-02-05.md,true,false,用户粘贴原文已归档（全文保真）
2026-02-04,AI 早报 2026-02-04,manual_paste_in_chat,chat_session,data/raw/wechat/2026-02-04.md,true,false,用户粘贴原文已归档（全文保真）
2026-02-03,AI 早报 2026-02-03,manual_paste_in_chat,chat_session,data/raw/wechat/2026-02-03.md,true,false,用户粘贴原文已归档（全文保真）
2026-02-02,AI 早报 2026-02-02,manual_paste_in_chat,chat_session,data/raw/wechat/2026-02-02.md,true,false,用户粘贴原文已归档（全文保真）
2026-02-01,AI 早报 2026-02-01,manual_paste_in_chat,chat_session,data/raw/wechat/2026-02-01.md,true,false,用户粘贴原文已归档（全文保真）
